phrase,syllablecount
ID,2
Southwest,2
15kg,5
Blackmednet,3
Spetznaz,2
Oratory,4
Sphinx,1
Interstate,3
Goodwin,2
Defcon,2
debugging,3
Assassination,5
SLIP,1
smuggle,2
fish,1
Wave,1
AT&T,4
USDOJ,5
BART,1
Attack,2
secure shell,3
Ortega,3
codes,1
Brown out,2
UXO,3
E. Coli,2
Body scanner,4
offensive,3
Plume,1
Hail,1
Methamphetamine,5
Exercise,3
Brute forcing,3
intelligence,4
Border Patrol,
Jasmine,2
Kilderkin,3
DDOS,4
Plague,1
Hazmat,2
Bomb threat,2
Human to Animal,6
Cornflower,3
Digicash,3
747,6
Cable & Wireless,6
Blowpipe,2
Flame,1
Terror Tuberculosis,7
Powder,2
Erosion,3
Trafficking,3
Lacrosse,2
Virus,2
Gorizont,3
Wackendude,3
Comirex,3
Biological,5
Echelon,3
Antiviral,4
DEA,3
Breach,1
Egret,2
Ice,1
22nd SAS,7
Target,2
Merlin,2
Scammers,2
Bomb squad,2
CdC,3
USP,3
Exon Shell,3
Face,1
ATF,3
Illegal immigrants,6
nitrate,2
plutonium,4
Taliban,3
PEM,3
anarchy,3
SWAT,1
sniper,2
Cancelled,2
Emergency management,7
Chemical agent,5
Cyber Command,4
Sundevil,3
Medco,2
Car bomb,2
Blister agent,4
warfare,2
Broadside,2
Espionage,4
Blacknet,2
Tremor,2
FX,2
Evacuation,5
Authorities,4
mailbomb,2
ninja,2
Playboy,2
Industrial spill,5
Mossberg,2
Spoke,1
Landing,2
Phon-e,2
Privacy,3
Suicide bomber,5
screws,1
Snow,1
Delta,2
Propaganda,4
assassinate,4
Pseudonyms,3
Hamas,2
Iraq,2
Halcon,2
Glock,1
Leak,1
Ingram Mac-10,4
Organized crime,4
utopia,4
Wackenhutt,3
Power lines,3
Pandemic,3
Gorelick,2
illuminati,5
Chicago Posse,5
Recovery,4
Malware,2
Nike,2
Computer Terrorism,7
Clandestine,3
Military,4
botux,2
Recall,2
Pretoria,4
veggie,2
Electronic Surveillance,7
Typhoon,2
Epidemic,4
Amherst,2
Gunfight,2
l0ck,1
Whitewater,3
Mudslide,2
Explosion,3
Anthrax,2
Cypherpunks,3
cybercash,3
unclassified,4
Bletchley Park,3
Law enforcement,4
Competitor,4
COSMOS,2
SWAT,1
white noise,2
advisors,3
United Nations,5
Al-Shabaab,3
H1N1,4
bet,1
Marijuana,4
Prevention,3
chosen,2
La Familia,5
Colonel,2
secure,2
Atlas,2
package,2
Quarantine,3
Ionosphere,4
Red Cross,2
Stranded,2
Foot and Mouth,3
Hackers,2
Archives,2
Active X,2
Undercover,4
M-14,3
VHF,3
Infowar,3
Daisy,2
Failure,2
crypto-anarchy,5
LEETAC,6
advise,2
Airport,2
market,2
the,1
Pine Gap,2
Armani,3
Phishing,2
Drug cartel,3
Storm,1
e-cash,2
LLC,3
Internet Underground,6
Metro,2
basement,2
Smart,1
quiche,1
Homeland Defense,4
ISS,3
subversives,3
Blackbird,2
WINGS,1
Sears Tower,3
Consular,3
freedom,2
Drug war,2
Capricorn,3
Tucson,2
Perl-RSA,4
Gamma,2
Coast Guard,2
Compsec,2
Tijuana,3
Police,2
rogue,1
Deaths,1
WORM,1
Bob,1
Mole,1
Soros,2
HoHoCon,3
Nuclear facility,7
Chelsea,2
AMTRAK,2
wire transfer,3
Tsunami Warning Center,7
Nuclear,3
CDC,3
Listeria,4
Nerd,1
Offensive Information,7
Response,2
Power outage,4
fangs,1
package,2
Grid,1
Symptoms,2
Drug trade,2
CIO,3
Terror,2
Kilo Class,3
Flu,1
Texas,2
World Health Organization,7
spies,1
magazine,3
FDA,3
757,6
Ti,2
Gist,1
Contamination,5
fraud,1
HTCIA,5
Mace,1
Sarin,2
speedbump,2
cryptanalysis,5
Lightening,3
Tamiflu,3
Gangs,1
president,3
Shots fired,2
replay,2
InfoSec,3
Macintosh Security,7
ICE,1
Militia Shooting,5
Cyber attack,4
Flintlock,2
FLAME,1
Hollyhock,3
Agent,2
Audiotel,4
Porno,2
Extreme weather,4
Agriculture,4
FEMA,2
Air Marshal,3
internet,3
White House,2
WHO,3
Speakeasy,3
SSL,3
outage,2
counterintelligence,6
El Paso,2
Food Poisoning,4
Duress,2
TSA,3
EO,2
Influenza,4
force,1
enigma,3
HALO,1
Radicals,3
Ft. Meade,2
Halibut,3
Trojan,2
Worm,1
World Domination,5
Domestic security,7
NSA,3
Cloud,1
cocaine,2
evaluation,5
CIA,3
remailers,3
Aid,1
Infection,3
Wildfire,2
PGP,3
Mexico,3
Mysql injection,6
Bess,1
Security Consulting,7
Fax,1
explicit,3
eternity server,6
Power,2
terrorism,4
sweeping,2
Artichoke,3
Hostage,2
Delta Force,3
bullion,2
Austin,2
Computer infrastructure,7
Stephanie,3
Colombia,4
Swine,1
Tsunami,3
Corporate Security,7
SDI,3
Security,4
Yemen,2
Secret Service,4
bank,1
Steve Case,2
Nationalist,4
Narcotics,3
JANET,5
Customs,2
froglegs,2
Fundamentalism,6
Botnet,2
Zen,1
VIP Protection,6
Spammer,2
Border Protection,5
Gulf Cartel,3
Cyber terror,4
PRIME,1
pink noise,2
Mantis,2
Threat,1
Leitrim,2
Keyhole,2
H5N1,4
racal,2
Facility,4
Relief,2
ETA,3
Gray Data,3
IED,3
humint,2
UN,2
Psyops,2
toad,1
Human to human,5
Tamil Tigers,4
sneakers,2
Earthquake,2
69,3
Evacuation,5
information,4
PLA,3
NORAD,2
E911,4
Conficker,3
National security,7
FBI,3
Help,1
beef,1
Water borne,3
stakeout,2
Ammonium nitrate,6
Sick,1
Minox,2
Shelter in place,4
Nuclear threat,4
clone,1
Glock 26,4
Telecommunications,7
virus,2
Jihad,2
Blowfish,2
TDR,3
Resistant,3
Black-Ops,2
Global,2
Disaster management,6
zone,1
Chemical weapon,5
jihad,2
Hazardous material,7
Incident,3
black-bag,2
Red Cell,2
Ciudad Juarez,5
AOL,3
Ricin,2
Strain,1
government,3
OSS,3
top secret,3
rebels,2
Guppy,2
National infrastructure,7
Suspicious device,5
Fetish,2
credit card,3
Suspicious substance,5
Avian,3
lock picking,3
PLF,3
rail gun,2
National Guard,4
DynCorp,2
Nuclear,2
Hacker,2
security,4
Information Warfare,6
Chemical spill,4
Stego,2
Fax encryption,4
William Gates,3
Subway,2
MSNBC,5
Pipe bomb,2
Embassy,3
Roswell,2
Dirty bomb,3
Asset,2
Norvo Virus,4
internet,3
INFOSEC,3
SIG,3
Standoff,2
mega,2
Salmonella,4
SUN,1
Cops,1
Shootout,2
Virii,2
Mitigation,4
Crash,1
Pixar,2
press-release,3
Hazardous,3
Radioactive,5
executive,4
niche,1
Avalanche,3
S/Key,2
Sleet,1
Suspicious package,5
Tools,1
Nigeria,4
Platform,2
Satellite phones,4
Airplane,2
Cartel,2
Public Health,3
Sugar Grove,3
Verisign,3
sweep,1
Aladdin,3
Enriched,2
Weekly World News,4
Counterterrorism,6
Homeland security,6
San Diego,4
Dead,1
Terrorism,4
Retinal Fetish,5
unix,2
Social media,5
China,2
E.T.,2
Sardine,2
Scully,1
High Security,5
Police,2
Brush fire,1
hate,1
Burst,1
Satellite imagery,6
Elvis,2
Outbreak,2
Agro,2
Task Force,2
Drug,1
Fort Meade,2
Mutation,3
VIP,3
counter,2
Salsa,2
Extremism,4
ABC,3
Area51,6
Macintosh Firewalls,6
U.S. Consulate,5
Yukon,2
Iran,2
Looting,2
DefCon V,3
Covert Video,5
Mexican army,5
DHS,3
